"id","dish_id","ingredient_id","ingredient_name","quantity_cook","quantity"
48721,M0044,NL162,Sả,2.0,
48729,M0046,NL171,Nấm kim châm,50.0,
48730,M0046,NL92,Bột năng,3.0,
48731,M0046,NL26,Trứng gà,1.0,
48733,M0047,NL75,Giò sống,150.0,
48696,M0040,NL174,Nấm hương khô nhỏ,50.0,
48735,M0047,NL55,Cà rốt,1.0,
48736,M0047,NL53,Nấm mèo,2.0,
48678,M0037,NL114,Hạt sen tươi,100.0,
48697,M0040,NL114,Hạt sen tươi,50.0,
48742,M0048,NL55,Cà rốt,30.0,
48698,M0040,NL1057,Đậu Hà Lan trái,50.0,
48669,M0035,NL15,Ớt sừng,1.0,
48675,M0036,NL1213,Phô mai miếng,8.0,
48726,M0046,NL1025,Nghêu tươi,0.5,
48701,M0040,NL41,Hành boaro bằm,1.0,
48651,M0031,NL3054,Tỏi,1.0,
48676,M0036,NL3054,Tỏi,2.0,
48652,M0031,NL3054,Nước cốt hành tỏi,1.0,
48703,M0041,NL3054,Tỏi băm,1.0,
48700,M0040,NL1049,Tàu hũ ky cọng tươi,100.0,
48689,M0039,NL1052,Tôm sú,150.0,
48739,M0048,NL1052,Tôm sú,400.0,
48829,M0062,NL1054,Rượu rum,1.0,
48648,M0031,NL1030,Bò phi lê,200.0,
48745,M0048,NL3062,Mè trắng rang,2.0,
48723,M0045,NL162,Sả cây,4.0,
48748,M0049,NL130,Nấm rơm,50.0,
48749,M0049,NL119,Hành tím băm,2.0,
48750,M0050,NL179,Tương hột,1.0,
48732,M0046,NL162,Sả cây,2.0,
48753,M0050,NL2977,tiêu xanh,2.0,
48754,M0050,NL162,Sả,2.0,
48630,M0028,NL243,Nấm đông cô khô,5.0,
48752,M0050,NL243,Nấm Nhật Nấm đông cô bông,5.0,
48632,M0028,NL877,Ớt chuông đỏ,50.0,
48694,M0040,NL742,Bạch quả tươi lột vỏ,150.0,
48717,M0043,NL1410,Chanh vàng,1.0,
48734,M0047,NL1368,Thịt cua rỉa,50.0,
48674,M0036,NL682,Ức gà phi lê lớn,2.0,
48744,M0048,NL1410,Vỏ chanh mài,1.0,
48747,M0049,NL1773,Cua đồng làm sạch,500.0,
48643,M0030,NL1106,Đường,50.0,
48755,M0050,NL131,Nước dừa tươi,0.5,
48756,M0050,NL41,Hành boaro,2.0,
48761,M0051,NL2779,Măng củ tươi,200.0,
48758,M0050,NL111,Nước cốt dừa,2.0,
48803,M0058,NL1244,Nước cốt chanh dây,1.0,
48760,M0051,NL145,Đậu hũ,2.0,
48845,M0065,NL1552,Riềng,20.0,
48763,M0051,NL187,Lá lốt,100.0,
48764,M0051,NL20,Cà chua,3.0,
48765,M0051,NL162,Sả,3.0,
48767,M0051,NL2273,Nước nghệ tươi,2.0,
61624,M0102,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
48769,M0052,NL189,Thịt ba chỉ,300.0,
48770,M0052,NL131,Nước dừa tươi,2.0,
61921,M0129,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
48773,M0052,NL190,Mè đen,2.0,
48774,M0053,NL194,Dầu olive,4.0,
48776,M0053,NL195,Mật ong,1.0,
48777,M0054,NL198,Khoai lang tím,200.0,
